GUID,Europa Smaragd,Europa (codiert),Europa (uncodiert),Nordjura (codiert),Nordjura (uncodiert),Nordostschweiz (codiert),Nordostschweiz (uncodiert),Südalpen (codiert),Südalpen (uncodiert),Westjura (codiert),Westjura (uncodiert),Westliche Nordalpen (codiert),Westliche Nordalpen (uncodiert),Westliche Zentralalpen (codiert),Westliche Zentralalpen (uncodiert),Westliches Mittelland (codiert),Westliches Mittelland (uncodiert),Östliche Nordalpen (codiert),Östliche Nordalpen (uncodiert),Östliche Zentralalpen (codiert),Östliche Zentralalpen (uncodiert),Östliches Mittelland (codiert),Östliches Mittelland (uncodiert),Schweiz (codiert),Schweiz (uncodiert),Lebensraum
000D8C10-85DF-4F81-B610-734F3FEC2A45,,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,Waldpflanzen
0010AFCB-BE3A-4F41-8DFD-46A3CCC7F42B,,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,Fettwiesenpflanzen
001B5F1F-93DB-473F-9B10-E38D577CF98C,,U,nicht gefährdet,–,nicht vorhanden,–,nicht vorhanden,R,selten,–,nicht vorhanden,–,nicht vorhanden,R,selten,–,nicht vorhanden,–,nicht vorhanden,–,nicht vorhanden,–,nicht vorhanden,R,selten,Gebirgspflanzen
00420E7B-993A-48CA-A403-417DD06167E4,,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,Pflanzen magerer (trockener oder wechseltrockener) Wiesen
0088CADE-8AFC-4560-867F-6DF349D18300,,U,nicht gefährdet,Ex,ausgestorben,–,nicht vorhanden,Ex,ausgestorben,–,nicht vorhanden,–,nicht vorhanden,–,nicht vorhanden,Ex,ausgestorben,–,nicht vorhanden,–,nicht vorhanden,Ex,ausgestorben,Ex,ausgestorben,Sumpfpflanzen
0094D581-00D2-437A-8F18-BEC1E230E81E,,U,nicht gefährdet,–,nicht vorhanden,–,nicht vorhanden,E,stark gefährdet,–,nicht vorhanden,V,gefährdet,U,nicht gefährdet,–,nicht vorhanden,E,stark gefährdet,R,selten,–,nicht vorhanden,U,nicht gefährdet,Waldpflanzen
00AE5B88-BBAF-4E5C-98DF-B355D1DD07C0,,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,U,nicht gefährdet,Sumpfpflanzen
00B442BD-E1B1-45EC-AD46-9DE7CEA31B21,,U,nicht gefährdet,–,nicht vorhanden,–,nicht vorhanden,R,selten,–,nicht vorhanden,–,nicht vorhanden,–,nicht vorhanden,–,nicht vorhanden,–,nicht vorhanden,R,selten,–,nicht vorhanden,R,selten,Gebirgspflanzen
00D6CBFC-A49D-4252-A8C5-9A4B493C88E6,,U,nicht gefährdet,–,nicht vorhanden,–,nicht vorhanden,R,selten,–,nicht vorhanden,–,nicht vorhanden,U,nicht gefährdet,–,nicht vorhanden,–,nicht vorhanden,–,nicht vorhanden,–,nicht vorhanden,U,nicht gefährdet,Gebirgspflanzen
01156C45-DC61-4D5A-80BA-BBB48A85FA59,,U,nicht gefährdet,–,nicht vorhanden,–,nicht vorhanden,R,selten,–,nicht vorhanden,R,selten,U,nicht gefährdet,–,nicht vorhanden,R,selten,U,nicht gefährdet,–,nicht vorhanden,U,nicht gefährdet,Gebirgspflanzen
