guid,Schweiz (codiert),Schweiz (uncodiert),Remarques,Bemerkungen,Osservazioni
798695E7-65EA-4E63-90E4-C8A393233F2E,0,ausgestorben oder verschollen,,,
92E310A0-9ADB-402E-B784-C7FEC0107F84,4,potentiell gefährdet,,,
6AF0A479-2B68-43E3-A728-E5B46974BB3B,NG,nicht gefährdet,,,
CCDE38DD-1CAB-4ECC-82EC-DDF79CE2F2DC,4,potentiell gefährdet,,,
814F7C3A-AC02-4326-B3C9-FF46F939399E,3,gefährdet,,,
1A0339A1-60A5-4C57-89D9-4F60E5697E9E,0,ausgestorben oder verschollen,,,
7C252678-A214-4288-B9CB-548798762B57,0,ausgestorben oder verschollen,,,
2E67787C-0870-4E27-85EE-BCCDB3D18868,3,gefährdet,,,
F23550B2-443C-42FE-9BA7-E589285CD883,1,vom Aussterben bedroht,,,
F6ABE036-6684-445C-8FD3-3693FEEEDE9B,NG,nicht gefährdet,,,
6338BF95-9FB6-43D8-8B57-A0ECBEC44D25,4,potentiell gefährdet,,,
C9D14FF0-C1B7-4A99-9B43-50F73618D7D7,NG,nicht gefährdet,,,
9E0586BE-0CF3-4B6C-92E6-0CAF03E705FD,3,gefährdet,,,
9E262605-80D2-4A34-818E-9B32156B64CB,NG,nicht gefährdet,,,
3008A349-1730-4BB7-AE44-98111BAD4EAC,2,stark gefährdet,,,
F551BEE3-6E3E-48AF-AA22-D3BA5F7E769B,NG,nicht gefährdet,,,
2EF8DDF8-5357-4C96-A59D-0BFAC13519C7,3,gefährdet,,,
753C8650-7CFB-46C2-A457-54A7F4A1ABAE,3,gefährdet,,,
78189577-D0BE-40C3-8035-7685E7EC7534,1,vom Aussterben bedroht,,,
4AC8C4A4-8AB1-4B84-A548-566131BFF9A9,1,vom Aussterben bedroht,,,
34A80C57-8C25-4E19-B975-0562854750EC,1,vom Aussterben bedroht,,,
72E0FBEE-64D7-4822-B8F5-B802ACDDC8D1,3,gefährdet,,,
