GUID,Rote-Liste-Nr,Differenz zum Index,Alpennordflanke (codiert),Alpennordflanke (uncodiert),An der Alpennordflanke adventiv,Alpensüdflanke (codiert),Alpensüdflanke (uncodiert),An der Alpensüdflanke adventiv,Bergell (codiert),Bergell (uncodiert),Jura (codiert),Jura (uncodiert),Im Jura adventiv,Mittelland (codiert),Mittelland (uncodiert),Im Mittelland adventiv,Münstertal (codiert),Münstertal (uncodiert),Schaffhauser Jura (codiert),Schaffhauser Jura (uncodiert),Tessin (codiert),Tessin (uncodiert),Wallis (codiert),Wallis (uncodiert),Im Wallis adventiv,Westliche Alpennordflanke (codiert),Westliche Alpennordflanke (uncodiert),Westliches Jura (codiert),Westliches Jura (uncodiert),Westliches Mittelland (codiert),Westliches Mittelland (uncodiert),Östliche Alpennordflanke (codiert),Östliche Alpennordflanke (uncodiert),Östliche Zentralalpen (codiert),Östliche Zentralalpen (uncodiert),In den östlichen Zentralalpen adventiv,Östliches Mitelland (codiert),Östliches Mitelland (uncodiert),Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Ökologische Gruppe,Schutz,Berner Konvention,Neophyt,Invasiv,Rote Liste IUCN 1997
0002C90B-13BD-4388-A5E4-1A8AE858D65C,1954,,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,,Fettwiesenpflanzen,regional (kantonal) geschützt,,Neophyt aus dem ereuropäischen Raum,,
000D8C10-85DF-4F81-B610-734F3FEC2A45,3065,,LC,nicht gefährdet,,LC,nicht gefährdet,,-,keine Vorkommen,LC,nicht gefährdet,,LC,nicht gefährdet,,DD,ungenügende Datengrundlage,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,,LC,nicht gefährdet,LC,nicht gefährdet,,Waldpflanzen,,,,,
001B5F1F-93DB-473F-9B10-E38D577CF98C,2873,Korrekturen bekannter Fehler des Index,LC,nicht gefährdet,,-,keine Vorkommen,,-,keine Vorkommen,-,keine Vorkommen,,-,keine Vorkommen,,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,NT,potentiell gefährdet,,LC,nicht gefährdet,-,keine Vorkommen,-,keine Vorkommen,LC,nicht gefährdet,NT,potentiell gefährdet,,-,keine Vorkommen,LC,nicht gefährdet,,Gebirgspflanzen,,,,,
00420E7B-993A-48CA-A403-417DD06167E4,2721,,LC,nicht gefährdet,,LC,nicht gefährdet,,LC,nicht gefährdet,LC,nicht gefährdet,,LC,nicht gefährdet,,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,,LC,nicht gefährdet,LC,nicht gefährdet,,Pflanzen magerer (trockener oder wechseltrockener) Wiesen,,,,,
0088CADE-8AFC-4560-867F-6DF349D18300,1532,,-,keine Vorkommen,,CR,vom Aussterben bedroht,,-,keine Vorkommen,-,keine Vorkommen,,-,keine Vorkommen,,-,keine Vorkommen,-,keine Vorkommen,CR,vom Aussterben bedroht,-,keine Vorkommen,,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,,-,keine Vorkommen,CR,vom Aussterben bedroht,A4dD,Sumpfpflanzen,,,,,
0094D581-00D2-437A-8F18-BEC1E230E81E,328,,VU,verletzlich,,CR,vom Aussterben bedroht,,-,keine Vorkommen,-,keine Vorkommen,,CR,vom Aussterben bedroht,,-,keine Vorkommen,-,keine Vorkommen,CR,vom Aussterben bedroht,LC,nicht gefährdet,,VU,verletzlich,-,keine Vorkommen,-,keine Vorkommen,EN,stark gefährdet,NT,potentiell gefährdet,,CR,vom Aussterben bedroht,LC,nicht gefährdet,,Waldpflanzen,regional (kantonal) geschützt,,,,
00AE5B88-BBAF-4E5C-98DF-B355D1DD07C0,1787,,LC,nicht gefährdet,,LC,nicht gefährdet,,RE,in der Schweiz ausgestorben,LC,nicht gefährdet,,LC,nicht gefährdet,,RE,in der Schweiz ausgestorben,LC,nicht gefährdet,LC,nicht gefährdet,NT,potentiell gefährdet,,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,LC,nicht gefährdet,,LC,nicht gefährdet,LC,nicht gefährdet,,Sumpfpflanzen,,,,,
00B442BD-E1B1-45EC-AD46-9DE7CEA31B21,2659,,-,keine Vorkommen,,NT,potentiell gefährdet,,NT,potentiell gefährdet,-,keine Vorkommen,,-,keine Vorkommen,,NT,potentiell gefährdet,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,NT,potentiell gefährdet,,-,keine Vorkommen,NT,potentiell gefährdet,,Gebirgspflanzen,in der ganzen Schweiz geschützt,,,,
00D6CBFC-A49D-4252-A8C5-9A4B493C88E6,484,,-,keine Vorkommen,,NT,potentiell gefährdet,,-,keine Vorkommen,-,keine Vorkommen,,-,keine Vorkommen,,-,keine Vorkommen,-,keine Vorkommen,NT,potentiell gefährdet,NT,potentiell gefährdet,,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,-,keine Vorkommen,,-,keine Vorkommen,NT,potentiell gefährdet,,Gebirgspflanzen,,,,,
010C73E0-C271-4A92-BC5A-8F8C23F03B98,362,,DD,ungenügende Datengrundlage,,NT,potentiell gefährdet,,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,NT,potentiell gefährdet,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,DD,ungenügende Datengrundlage,,DD,ungenügende Datengrundlage,NT,potentiell gefährdet,,Pionierpflanzen niederer Lagen,,,Neophyt aus dem aussereuropäischen Raum,,
