GUID,Welt (codiert),Welt (uncodiert),Europa Smaragd,Europa (codiert),Europa (uncodiert),Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen
0013F161-CF94-4FC7-819B-374D3374DD85,,,,,,EN,stark gefährdet,A2b; B1ab(iv)+2ab(iv),
0074DE2A-CB56-42D4-B71A-B590440BD417,,,,,,LC,nicht gefährdet,,
00A700B9-4108-424E-B94E-1CC9ECAB7944,,,,E,endangered,CR,vom Aussterben bedroht,B1ab(iv)+2ab(iv),
00D526FD-823E-465A-9F56-0C22E4DD8170,,,,,,NE,nicht evaluiert,,
00E5CD70-2B25-4C7B-BDF8-E80D525C8D29,,,,R,rare,VU,verletzlich,D2,nur aus dem Tessin bekannt
00EA627E-AC6F-48F0-B894-476FF4AEACAA,,,,R,rare,EN,stark gefährdet,D2,"einziger Fund 1984, Upgrading vorgenommen"
010022F5-106A-47CB-88CE-648F99DBD574,,,,,,LC,nicht gefährdet,,
019E0885-D38B-449E-AE40-9B492CF261FB,,,,V,vulnerable,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
01AA93C0-EB44-40DF-9ADB-EE99C4A14ADE,,,,,,VU,verletzlich,D2,
01D92C76-CCFA-4C6C-969D-F36E8EED9563,,,,,,NT,potentiell gefährdet,D2,
01E873CD-D508-47C4-BC45-A15B0D81537B,,,,,,LC,nicht gefährdet,,
01F54485-29FA-4F1B-9395-0E96B8165551,,,,,,NT,potentiell gefährdet,A2b,abhängig vom Schutz der Trockenstandorte
01F6FE7F-3F84-402E-AD95-D74C2A1776B8,,,,,,LC,nicht gefährdet,,
0275011F-2852-40F8-B950-09BCC502AA01,,,,R,rare,CR,vom Aussterben bedroht,B2ab(iv),abhängig vom Schutz der Trockenwiesen
030F2823-B480-472F-95C5-71A4A29608C4,,,,,,VU,verletzlich,A2b; D2,
031E1427-FD23-4573-B5C5-4EDCD50C1AFF,,,,,,VU,verletzlich,D2,
0359CEF4-5F8F-4971-BCCB-F661BB9C608F,,,,R,rare,CR,vom Aussterben bedroht,"A2b;B2ab(ii,iv)",
039E6067-09B8-4CB1-AE88-8EE1177C17DB,,,,,,LC,nicht gefährdet,,
03AE462D-0C88-4C06-906D-3CEBDB71C842,,,,,,LC,nicht gefährdet,,abhängig vom Moorschutz
03B142A6-F17A-4A51-8A0B-DAF71DB5E48F,,,,,,VU,verletzlich,D2,
03E503B7-FFBC-4FD5-80A7-8D1DC14C7907,,,,,,VU,verletzlich,D2,
044FA358-1FF8-44ED-8F39-A6698D16EEC6,,,,,,LC,nicht gefährdet,,im Mittelland gefährdet
046C52DD-387D-4480-BA25-726D1BCCC924,,,,,,NT,potentiell gefährdet,,abhängig vom Moorschutz
0477EF69-E2A5-4596-A101-53A470F80CE0,,,,,,VU,verletzlich,D2,
047BAC6E-ED3F-4CC8-8407-40F5AC8CA71B,,,,,,NE,nicht evaluiert,,
049311ED-0EF9-4233-BEBD-BBD40C4D92E1,,,,,,NE,nicht evaluiert,,
049632D3-0982-4DE6-80FA-CC4E7EA03ED1,,,,,,LC,nicht gefährdet,,
04F06342-0B01-4E76-9D84-395AAF931D4A,,,,,,LC,nicht gefährdet,,
05B5FA73-06B2-45FA-90FE-961A73694B5D,,,,,,NT,potentiell gefährdet,D2,
06160B56-4B20-44FF-B41F-4742AF53BDB3,,,,,,NT,potentiell gefährdet,D2,wahrscheinlich häufiger als Funde vermuten lassen
06661861-5922-4B85-AF0F-C8DA32D61D56,,,,,,NE,nicht evaluiert,,
0668545E-9A95-4B27-9E14-163963487792,,,,,,LC,nicht gefährdet,,
06A1338E-F663-49EF-8766-0CB0DAF30AD4,,,,,,NE,nicht evaluiert,,
06C2A4A6-0858-4352-8481-F1E4761E70BB,,,,,,LC,nicht gefährdet,,
06E99DC2-867C-47F1-ACCD-03A024840603,,,,R,rare,LC,nicht gefährdet,,
06EF8FB7-FAB4-4335-B62C-2DB2C618816D,,,,,,NE,nicht evaluiert,,
07560058-4790-4EA2-87F7-E23CF4577BEE,,,,,,LC,nicht gefährdet,,
07750D18-5550-4BAC-BA60-E64084438A1A,,,,,,RE,in der Schweiz ausgestorben,,"letzter Fund 1916, wiederholte Nachsuche erfolglos"
07D4F5A0-F0C7-49BC-89FB-F6A452C1BAE5,,,,,,LC,nicht gefährdet,,
0814B819-C808-44AF-B991-21FC331C6F70,,,,,,VU,verletzlich,D2,
08307FF3-7980-4D17-8EFB-162786816CE9,,,,R,rare,EN,stark gefährdet,B1ab(iv)+2ab(iv),
08440F88-6CAC-47DD-9065-DE34B073EB32,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
08C2B577-C493-4EDA-9EE8-93336029E6A8,,,,,,EN,stark gefährdet,A2b,
08E5AD37-F556-4CD0-8988-37E7DF6AFC67,,,,,,DD,ungenügende Datengrundlage,,"subsp. borealis unterscheidet sich nur im Chromosomensatz, von dieser gibt es keinen sicheren Nachweis"
0903E14A-3D25-4B07-A5AB-88C5F2199712,,,,V,vulnerable,VU,verletzlich,D2,
092634A9-E56E-4B7F-972C-112221A52315,,,,,,LC,nicht gefährdet,,
093AEB04-1673-48CF-98E7-C39048E4FEA7,,,,,,LC,nicht gefährdet,,
09C373F3-6397-4106-AF48-851446E5A3A5,,,,,,LC,nicht gefährdet,,
0A08C1C4-1DC4-4CBF-8DE4-9A95AC404F91,,,,,,LC,nicht gefährdet,,
0A41E745-9D91-453D-8843-759C9E373E71,,,,,,LC,nicht gefährdet,,
0A8222F3-CB5F-4017-8C2B-FA57E58B7CC0,,,,,,LC,nicht gefährdet,,
0A8E42E3-D1F2-45F6-9C62-EEE68B2320B1,,,,,,DD,ungenügende Datengrundlage,,Vorkommen in der Schweiz unsicher
0AAE4D0E-841A-40A0-8A12-A195696AEBAC,,,,,,LC,nicht gefährdet,,
0AF82312-850D-4514-B98A-D357988D23F3,,,,,,LC,nicht gefährdet,,
0B1A11C2-0A53-40D0-B259-1E598B557923,,,,? V,vulnerable?,VU,verletzlich,D2,
0B48127A-DA61-4BF4-9B6D-02EE916EEAC7,,,,,,DD,ungenügende Datengrundlage,,Vorkommen in der Schweiz unsicher
0B71401A-C8A0-4032-BD79-5A3AA7301F71,,,,K,insufficiently known,CR,vom Aussterben bedroht,B2ab(iv),
0B74FEAE-3713-4080-9B21-F39C27456E05,,,,,,VU,verletzlich,D2,Rückgang unklar
0BA02E16-A793-44ED-891C-A4BFFD01F0FA,,,,,,VU,verletzlich,D2,"Neufund 2002 (Umgebung von Basel), Upgrading vorgenommen"
0BD9644A-91C4-41DB-9747-57BF50AAE7AD,,,,V,vulnerable,VU,verletzlich,D2,
0C156256-CAC9-4109-B153-311ACF93D36F,,,,R,rare,VU,verletzlich,D2,
