guid ausgelesen,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen,Remarques,Osservazioni
83C79816-1DF8-4883-9C0E-BB3ECAFABE74,RE,In der Schweiz ausgestorben,,,,
CD990FCE-991D-4A59-8C07-89849A202990,NE,Nicht beurteilt,,Eingeschleppte Art,Espèce introduite,Specie introdotta
79F28EF2-9C1C-4DAD-89CB-1ED244415B73,LC,Nicht gefährdet,,,,
617E7D94-674E-4DF8-B67E-62B3DE70C228,NT,Potenziell gefährdet,,Abnahme der Bestände nicht ausreichend für VU,Régression insuffisante pour VU,Riduzione della consistenza insufficiente per una classificazione VU.
A9643394-B169-4DB1-ABE1-3332D07ADF05,NT,Potenziell gefährdet,,Abnahme der Bestände nicht ausreichend für VU,Régression insuffisante pour VU,Riduzione della consistenza insufficiente per una classificazione VU.
FE3A527F-867E-4DEA-9F8B-772482360FE0,EN,Stark gefährdet,A2c,,,
E2184274-97F8-40F5-ADB3-39C767E6C623,EN,Stark gefährdet,A2c,,,
CA529422-0ED4-4BFD-94A2-4E788AEB9D70,EN,Stark gefährdet,A2c,,,
0C84E5EE-E597-4F00-A56F-4DA86B2EF2FD,EN,Stark gefährdet,A2c,,,
13D06E7B-7714-460C-AF18-047D10C01857,EN,Stark gefährdet,"B2a, B2b(ii, iv)",Natürlicherweise kleines Verbreitungsgebiet in der Schweiz (Tessin),Aire naturelle d’occupation très restreinte en Suisse (Tessin),Areale di distribuzione naturalmente esiguo in Svizzera (Cantone Ticino)
64FA534C-3E67-41FB-A67B-DED3F4D3DE30,EN,Stark gefährdet,"B2a, B2b(ii, iv)",Natürlicherweise kleines Verbreitungsgebiet in der Schweiz,Aire naturelle d’occupation restreinte en Suisse,Areale di distribuzione naturalmente esiguo in Svizzera
C1E22244-866C-4768-B8AC-B8B58AE1EB99,DD,Ungenügende Datengrundlage,,"Unklar, ob es in der Schweiz je Populationen gab",Existence d’anciennes populations en Suisse incertaine,Non è provato che in Svizzera siano mai esistite popolazioni
2005BFE3-4F30-4CD9-82E0-A4FF305FED58,DD,Ungenügende Datengrundlage,,"Unklar, ob es in der Schweiz je Populationen gab",Existence d’anciennes populations en Suisse incertaine,Non è provato che in Svizzera siano mai esistite popolazioni
979233B6-9013-4820-9F7D-8ED9D826C2D3,VU,Verletzlich,A2c,,,
DC7C5B78-48EC-4458-B21E-B31985B063B6,VU,Verletzlich,"C2a(ii), D2",,,
C33A901D-BCC3-4E7C-80B8-0DCFBB7B8A70,LC,Nicht gefährdet,,Leichte Abnahme der Bestände,Légère régression des effectifs,Leggera diminuzione della consistenza
D83B00A9-B5BE-45DF-A438-1C26F2EA7592,LC,Nicht gefährdet,,,,
F45B1A3E-413A-426B-BAA8-AE958E86D30E,EN,Stark gefährdet,"B2a, B2b(ii, iv)",Natürlicherweise kleines Verbreitungsgebiet in der Schweiz (Tessin),Aire naturelle d’occupation très restreinte en Suisse (Tessin),Areale di distribuzione naturalmente esiguo in Svizzera (Cantone Ticino)
32D53101-0FD8-497A-AD27-3FEA15662D31,EN,Stark gefährdet,"A2c, B2a, B2b(ii, iv)",,,
EBE2DD4A-1621-419A-A633-898ADC41AE5B,EN,Stark gefährdet,"A2c, B2a, B2b(ii, iv)",,,
85CE6955-5EF5-476F-A6AB-7C6C9DB953C8,VU,Verletzlich,"A3c,e",Unerklärter Rückgang geht vermutlich weiter,Régression inexpliquée devant probablement se prolonger,Inspiegabile diminuzione probabilmente tuttora in atto
22F8786E-1E39-420C-B267-B9A7F38B9984,VU,Verletzlich,"A2c, B2a, B2b(ii, iv)",,,
