guid,Schweiz (codiert),Schweiz(uncodiert),Schweiz Kriterien,Bemerkungen,Remarques,Osservazioni,Einzugsgebiet,Europa nach Berner Konvention
798695E7-65EA-4E63-90E4-C8A393233F2E,0,ausgestorben,,,,,Hochrhein,geschützt
1A0339A1-60A5-4C57-89D9-4F60E5697E9E,0,ausgestorben,,,,,Hochrhein,geschützt
7C252678-A214-4288-B9CB-548798762B57,0,ausgestorben,,,,,Ticino,geschützt
0E85D0A0-B20D-4832-AFE7-2D91F20437F0,0,ausgestorben,,,,,Hochrhein,geschützt
893E768B-12A6-4BD6-919B-FD3A7CBC199C,0,ausgestorben,,,,,Inn,geschützt
E09CC394-56B3-44A1-B898-FBA79B829F94,0,ausgestorben,,,,,Hochrhein,geschützt
1B270A03-C666-4C34-827A-A70524C7C1DA,0,ausgestorben,,,,,Ticino,
CE71E971-C82B-4B18-B731-E43841DD9CCA,0,ausgestorben,,,,,Hochrhein,
814F7C3A-AC02-4326-B3C9-FF46F939399E,3,gefährdet,,,,,Ticino,geschützt
2E67787C-0870-4E27-85EE-BCCDB3D18868,3,gefährdet,,,,,"Rhein, Ticino",geschützt
9E0586BE-0CF3-4B6C-92E6-0CAF03E705FD,3,gefährdet,,,,,"Rhein, Rhône, Doubs, Inn",geschützt
2EF8DDF8-5357-4C96-A59D-0BFAC13519C7,3,gefährdet,,,,,Ticino,geschützt
753C8650-7CFB-46C2-A457-54A7F4A1ABAE,3,gefährdet,,,,,Ticino,geschützt
72E0FBEE-64D7-4822-B8F5-B802ACDDC8D1,3,gefährdet,,,,,"Rhein, Rhône, Doubs, Ticino",
EDA4141D-B8C1-4239-8342-DA2AC3862A9A,3,gefährdet,,,,,Ticino,geschützt
33BF1A2D-0CDC-48F7-801C-96BEA0D5BF61,3,gefährdet,,,,,Seespezifisch,
7999CCA7-3647-4423-894C-4477B5DE3F9D,3,gefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",geschützt
D1D2AC0D-EDE9-45A2-9C58-9E3AD9E5CC44,3,gefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",geschützt
6AF0A479-2B68-43E3-A728-E5B46974BB3B,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs, Inn",
F6ABE036-6684-445C-8FD3-3693FEEEDE9B,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",
C9D14FF0-C1B7-4A99-9B43-50F73618D7D7,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs",
9E262605-80D2-4A34-818E-9B32156B64CB,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs",
F551BEE3-6E3E-48AF-AA22-D3BA5F7E769B,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs",
52CB9FE7-BA2D-40CE-AE23-277A1276C410,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino",
2BC7164C-9CBD-4BE2-BB18-6E76D41B5D76,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino",
8DBCB0FD-B7E2-4D2F-A651-2120809B0E53,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",
77328EA3-4E7B-4881-BB6C-7EE54B65EA37,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs",
05B27C7E-AFF6-4559-9A4C-7182260FBFC0,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",
FE187783-AA2A-42DB-98BC-820EB41F01A6,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",
5181A3FF-5846-4798-ADB4-CA307E313730,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",
DE75BF0E-725C-4AB6-A3D6-1B480EA326D8,NG,nichtgefährdet,,,,,"Rhein, Rhône, Ticino",
AFA01B80-5458-401F-A4BC-7D45CA606371,NG,nichtgefährdet,,,,,"Rhein, Rhône",
F5CE30A1-315B-4496-9D6B-4598103048BC,NG,nichtgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino, Inn",
92E310A0-9ADB-402E-B784-C7FEC0107F84,4,potenziellgefährdet,,,,,"Rhein, Rhône, Doubs
Ticino",
CCDE38DD-1CAB-4ECC-82EC-DDF79CE2F2DC,4,potenziellgefährdet,,,,,Ticino,geschützt
6338BF95-9FB6-43D8-8B57-A0ECBEC44D25,4,potenziellgefährdet,,,,,"Rhein, Rhône, Doubs",
1058A86D-2141-47A3-BA4F-2C287697A327,4,potenziellgefährdet,,,,,Rhein,geschützt
1D73B376-066B-4625-A731-9B9330388916,4,potenziellgefährdet,,,,,"Rhein, Rhône, Doubs, Ticino",
