guid ausgelesen,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Remarques,Bemerkungen,Osservazioni
9CE95541-712B-48FF-853F-B417A390F104,LC,Nicht gefährdet,,,,
4CA74B8C-8834-4321-B8DB-055B0C202950,EN,Stark gefährdet,"B2a, B2b(iv)","Forêts, Milieux construits, Roches et éboulis","Wälder, Siedlungsgebiete, Felsen und Steinschutt","Boschi, ambienti edificati, rocce e ghiaioni"
D7F5A52B-592D-44D3-AE6E-6988580A6D68,LC,Nicht gefährdet,,,,
830EAD8F-E72A-448D-8DA3-09289E45E755,LC,Nicht gefährdet,,,,
5B9D75D7-347E-4A22-9073-AB6EC896DD8A,LC,Nicht gefährdet,,"Non-indigène au Nord des Alpes, 1843",Nicht-einheimisch auf der Alpennordseite seit 1843,"Non-indigena al nord delle Alpi,  dal 1843"
95545722-6AF5-43A6-865F-BD8AC166636E,EN,Stark gefährdet,"B2a, B2b(i, ii, iii, vi)",Etangs et zones alluviales des grands cours d’eau,Weiher und Auengebiete der grossen Fliessgewässer,Stagni e zone alluvionali di grandi corsi d'acqua
E76E1F03-3E66-4D9F-B13B-755638BC6D4D,LC,Nicht gefährdet,,,,
B3781986-DD81-4BAC-8C24-185A42FBF589,EN,Stark gefährdet,"B2a, B2b(iii, iv)",Zones alluviales des grands cours d’eau,Auengebiete der grossen Fliessgewässer,Zone alluvionali di grandi corsi d'acqua
2B4EE3D4-F9F9-44F9-8837-15608B903FA1,LC,Nicht gefährdet,,,,
815F96D2-282B-4CC1-9AB6-B5EB2C902883,EN,Stark gefährdet,"B2a, B2b(iii, iv)",Marais liés aux grands lacs et fleuves,Moore in Kontakt mit grossen Seen und Flüssen ,Paludi legate a grandi laghi e fiumi
13DCEF9E-795D-4A9E-9CDC-792EAB358EE2,EN,Stark gefährdet,"B2a, B2b(iii)",Rives des grands lacs et fleuves,Ufer der grossen Seen und Flüsse,Rive des grands laghi e fiumi
4F60EB34-B47B-4590-990E-4A15449455B7,LC,Nicht gefährdet,,,,
74B74BA0-74F8-4397-B424-F9574C167198,VU,Verletzlich,"B2a, B2b(iii,iv)","Sources, Tessin","Quellen, Tessin","Sorgenti, Ticino"
A1CF4251-551F-4D55-A6E7-0031FF2B63B0,NT,Potenziell gefährdet,,Sources et nappes souterraines,Quellen und unterirdische Grundwasser,Sorgenti e falde sotterranee
A333D066-C5A6-4BE4-A7CA-6A276DD9CA26,VU,Verletzlich,"B2a, B2b(iii, iv)","Sources et cours d’eau souterrains, endémique","Quellen und unterirdische Gewässer, endemisch","Sorgenti e corsi d'acqua sotterranei, endemismo"
B043E16D-435A-42D5-AA25-2415F72CF415,NT,Potenziell gefährdet,,Sources et cours d’eau souterrains,Quellen und unterirdische Gewässer,Sorgenti e corsi d'acqua sotterranei
0A026397-00C5-4D7A-8459-C9FEE735595D,NT,Potenziell gefährdet,,Sources et cours d’eau souterrains,Quellen und unterirdische Gewässer,Sorgenti e corsi d'acqua sotterranei
BF36A9DC-23B5-46B9-B760-732D0EFAF634,VU,Verletzlich,"B2a, B2b(iii,iv)",Sources et nappes souterraines,Quellen und unterirdische Grundwasser,Sorgenti e falde sotterranee
F7B45EC7-5991-436A-9B88-31B27A8A75D4,VU,Verletzlich,"B2a, B2b(iii,iv)","Sources et cours d’eau souterrains, endémique","Quellen und unterirdische Gewässer, endemisch","Sorgenti e corsi d'acqua sotterranei, endemismo"
9E407250-16F5-4CDD-A644-F803283B69F0,NT,Potenziell gefährdet,,Sources et cours d’eau souterrains,Quellen und unterirdische Gewässer,Sorgenti e corsi d'acqua sotterranei
437E6995-327A-45FE-9FF3-437002DF28FB,NE,Nicht beurteilt,,"Introduite, première mention Lac de Neuchâtel, 1998","Eingeführt, erste Fundmeldung Neuenburgersee, 1998","Introdotta, prima segnalazione nel Lago di Neuchâtel, 1998"
17F692E6-2C44-4899-8EF8-13D44FD666C2,RE,In der Schweiz ausgestorben,,"Zone littorale de plans d’eau, dernière mention 1957","Uferzone der Stehgewässer, letzter Nachweis 1957","Zone litorali di specchi d'acqua, ultima segnalazione nel 1957"
3BBD0D73-4C91-490C-A27B-B20B372089B3,VU,Verletzlich,"B2a, B2b(ii)","Ecotones, Forêts","Säume, Wälder","Ecotoni, boschi"
