"GUID","CH Rote Liste Flora (2002): Alpennordflanke","CH Rote Liste Flora (2002): Alpensüdflanke","CH Rote Liste Flora (2002): An der Alpennordflanke adventiv","CH Rote Liste Flora (2002): An der Alpensüdflanke adventiv","CH Rote Liste Flora (2002): Bergell","CH Rote Liste Flora (2002): Berner Konvention","CH Rote Liste Flora (2002): Differenz zum Index","CH Rote Liste Flora (2002): Im Jura adventiv","CH Rote Liste Flora (2002): Im Mittelland adventiv","CH Rote Liste Flora (2002): Im Wallis adventiv","CH Rote Liste Flora (2002): In den östlichen Zentralalpen adventiv","CH Rote Liste Flora (2002): Invasiv","CH Rote Liste Flora (2002): Jura","CH Rote Liste Flora (2002): Kriterien IUCN","CH Rote Liste Flora (2002): Mittelland","CH Rote Liste Flora (2002): Münstertal","CH Rote Liste Flora (2002): Neophyt","CH Rote Liste Flora (2002): Rote Liste IUCN 1997","CH Rote Liste Flora (2002): Rote-Liste-Nr","CH Rote Liste Flora (2002): Schaffhauser Jura","CH Rote Liste Flora (2002): Schutz","CH Rote Liste Flora (2002): Schweiz","CH Rote Liste Flora (2002): Tessin","CH Rote Liste Flora (2002): Wallis","CH Rote Liste Flora (2002): Westliche Alpennordflanke","CH Rote Liste Flora (2002): Westliches Jura","CH Rote Liste Flora (2002): Westliches Mittelland","CH Rote Liste Flora (2002): Ökologische Gruppe","CH Rote Liste Flora (2002): Östliche Alpennordflanke","CH Rote Liste Flora (2002): Östliche Zentralalpen","CH Rote Liste Flora (2002): Östliches Mitelland"
"0002C90B-13BD-4388-A5E4-1A8AE858D65C","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","","","DD: ungenügende Datengrundlage","","","","","","","","DD: ungenügende Datengrundlage","","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","Neophyt aus dem ereuropäischen Raum","",1954,"DD: ungenügende Datengrundlage","regional (kantonal) geschützt","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","Fettwiesenpflanzen","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage"
"000D8C10-85DF-4F81-B610-734F3FEC2A45","LC: nicht gefährdet","LC: nicht gefährdet","","","keine Vorkommen","","","","","","","","LC: nicht gefährdet","","LC: nicht gefährdet","DD: ungenügende Datengrundlage","","",3065,"LC: nicht gefährdet","","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","Waldpflanzen","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet"
"001B5F1F-93DB-473F-9B10-E38D577CF98C","LC: nicht gefährdet","keine Vorkommen","","","keine Vorkommen","","Korrekturen bekannter Fehler des Index","","","","","","keine Vorkommen","","keine Vorkommen","keine Vorkommen","","",2873,"keine Vorkommen","","LC: nicht gefährdet","keine Vorkommen","NT: potentiell gefährdet","LC: nicht gefährdet","keine Vorkommen","keine Vorkommen","Gebirgspflanzen","LC: nicht gefährdet","NT: potentiell gefährdet","keine Vorkommen"
"00420E7B-993A-48CA-A403-417DD06167E4","LC: nicht gefährdet","LC: nicht gefährdet","","","LC: nicht gefährdet","","","","","","","","LC: nicht gefährdet","","LC: nicht gefährdet","LC: nicht gefährdet","","",2721,"LC: nicht gefährdet","","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","Pflanzen magerer (trockener oder wechseltrockener) Wiesen","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet"
"0088CADE-8AFC-4560-867F-6DF349D18300","keine Vorkommen","CR: vom Aussterben bedroht","","","keine Vorkommen","","","","","","","","keine Vorkommen","A4dD","keine Vorkommen","keine Vorkommen","","",1532,"keine Vorkommen","","CR: vom Aussterben bedroht","CR: vom Aussterben bedroht","keine Vorkommen","keine Vorkommen","keine Vorkommen","keine Vorkommen","Sumpfpflanzen","keine Vorkommen","keine Vorkommen","keine Vorkommen"
"0094D581-00D2-437A-8F18-BEC1E230E81E","VU: verletzlich","CR: vom Aussterben bedroht","","","keine Vorkommen","","","","","","","","keine Vorkommen","","CR: vom Aussterben bedroht","keine Vorkommen","","",328,"keine Vorkommen","regional (kantonal) geschützt","LC: nicht gefährdet","CR: vom Aussterben bedroht","LC: nicht gefährdet","VU: verletzlich","keine Vorkommen","keine Vorkommen","Waldpflanzen","EN: stark gefährdet","NT: potentiell gefährdet","CR: vom Aussterben bedroht"
"00AE5B88-BBAF-4E5C-98DF-B355D1DD07C0","LC: nicht gefährdet","LC: nicht gefährdet","","","RE: in der Schweiz ausgestorben","","","","","","","","LC: nicht gefährdet","","LC: nicht gefährdet","RE: in der Schweiz ausgestorben","","",1787,"LC: nicht gefährdet","","LC: nicht gefährdet","LC: nicht gefährdet","NT: potentiell gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","Sumpfpflanzen","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet"
"00B442BD-E1B1-45EC-AD46-9DE7CEA31B21","keine Vorkommen","NT: potentiell gefährdet","","","NT: potentiell gefährdet","","","","","","","","keine Vorkommen","","keine Vorkommen","NT: potentiell gefährdet","","",2659,"keine Vorkommen","in der ganzen Schweiz geschützt","NT: potentiell gefährdet","keine Vorkommen","keine Vorkommen","keine Vorkommen","keine Vorkommen","keine Vorkommen","Gebirgspflanzen","keine Vorkommen","NT: potentiell gefährdet","keine Vorkommen"
"00D6CBFC-A49D-4252-A8C5-9A4B493C88E6","keine Vorkommen","NT: potentiell gefährdet","","","keine Vorkommen","","","","","","","","keine Vorkommen","","keine Vorkommen","keine Vorkommen","","",484,"keine Vorkommen","","NT: potentiell gefährdet","NT: potentiell gefährdet","NT: potentiell gefährdet","keine Vorkommen","keine Vorkommen","keine Vorkommen","Gebirgspflanzen","keine Vorkommen","keine Vorkommen","keine Vorkommen"
"010C73E0-C271-4A92-BC5A-8F8C23F03B98","DD: ungenügende Datengrundlage","NT: potentiell gefährdet","","","DD: ungenügende Datengrundlage","","","","","","","","DD: ungenügende Datengrundlage","","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","Neophyt aus dem aussereuropäischen Raum","",362,"DD: ungenügende Datengrundlage","","NT: potentiell gefährdet","NT: potentiell gefährdet","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","Pionierpflanzen niederer Lagen","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage"
"01156C45-DC61-4D5A-80BA-BBB48A85FA59","NT: potentiell gefährdet","NT: potentiell gefährdet","","","NT: potentiell gefährdet","","","","","","","","keine Vorkommen","","keine Vorkommen","keine Vorkommen","","",481,"keine Vorkommen","regional (kantonal) geschützt","LC: nicht gefährdet","VU: verletzlich","LC: nicht gefährdet","NT: potentiell gefährdet","keine Vorkommen","keine Vorkommen","Gebirgspflanzen","NT: potentiell gefährdet","LC: nicht gefährdet","keine Vorkommen"
"012F62C3-5036-4145-B552-23AB23E46B90","keine Vorkommen","keine Vorkommen","","","keine Vorkommen","","","","","","","","RE: in der Schweiz ausgestorben","","keine Vorkommen","keine Vorkommen","","",1815,"keine Vorkommen","","RE: in der Schweiz ausgestorben","keine Vorkommen","keine Vorkommen","keine Vorkommen","RE: in der Schweiz ausgestorben","keine Vorkommen","Sumpfpflanzen","keine Vorkommen","keine Vorkommen","keine Vorkommen"
"0133B13E-1706-4172-AFF0-4AA2C69D24E2","LC: nicht gefährdet","LC: nicht gefährdet","","","LC: nicht gefährdet","","","","","","","","LC: nicht gefährdet","","LC: nicht gefährdet","LC: nicht gefährdet","","",3106,"LC: nicht gefährdet","","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet","Waldpflanzen","LC: nicht gefährdet","LC: nicht gefährdet","LC: nicht gefährdet"
"01361FFA-0576-49C5-A173-7C4180DA5414","NT: potentiell gefährdet","LC: nicht gefährdet","","","keine Vorkommen","","","","","","","","LC: nicht gefährdet","","NT: potentiell gefährdet","keine Vorkommen","","",3097,"keine Vorkommen","regional (kantonal) geschützt","LC: nicht gefährdet","LC: nicht gefährdet","EN: stark gefährdet","VU: verletzlich","LC: nicht gefährdet","VU: verletzlich","Waldpflanzen","NT: potentiell gefährdet","VU: verletzlich","NT: potentiell gefährdet"
"014462C3-6CCA-4BC8-A840-AD3BD4A82EC2","RE: in der Schweiz ausgestorben","DD: ungenügende Datengrundlage","","","DD: ungenügende Datengrundlage","","","","","","","","DD: ungenügende Datengrundlage","","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","Neophyt aus dem ereuropäischen Raum","",378,"DD: ungenügende Datengrundlage","","RE: in der Schweiz ausgestorben","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","RE: in der Schweiz ausgestorben","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","Unkraut- oder Ruderalpflanzen","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage","DD: ungenügende Datengrundlage"
"01816795-05AD-4AAC-8C12-060349A5F18C","keine Vorkommen","CR: vom Aussterben bedroht","","","keine Vorkommen","","Im Index nicht enthaltene Taxa","","","","","","keine Vorkommen","D","keine Vorkommen","keine Vorkommen","Neophyt aus dem aussereuropäischen Raum","",1668,"keine Vorkommen","","CR: vom Aussterben bedroht","CR: vom Aussterben bedroht","keine Vorkommen","keine Vorkommen","keine Vorkommen","keine Vorkommen","Sumpfpflanzen","keine Vorkommen","keine Vorkommen","keine Vorkommen"
