guid,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen,Remarques,Osservazioni
E4C26963-F808-4904-B9DE-CABE9A524877,VU,Verletzlich,"B2a, B2b(iii,iv)",Grünlandart,Prairiale,Prativa
EF8BF098-1389-47CC-8596-237648F0A2DA,NT,Potenziell gefährdet,,,,
A1FFA18E-A37E-4ED4-BF0C-7DEE59BE046D,NT,Potenziell gefährdet,,,,
9D46BA6F-9FFB-44AF-8C2D-40CC701E98A0,LC,Nicht gefährdet,,,,
88A51C21-3204-4AB4-BDEF-4139FE178D8B,LC,Nicht gefährdet,,,,
E911252D-B5EE-4ADC-9DDB-BF4069B03F37,EN,Stark gefährdet,"B2a, B2b(iii,iv)",Sumpfart,Paludéenne,Palustre
2696F52F-04AD-47D4-A40C-65CA410263F3,VU,Verletzlich,"B2b(iii,iv)",Sumpfart,Paludéenne,Palustre
C2292C64-74AD-4AD1-B8F2-775B6BC77DDC,NT,Potenziell gefährdet,,,,
98CCE02B-656C-4E73-B104-5ADB968C431E,VU,Verletzlich,"B2b(iii,iv)",Grünlandart,Prairiale,Prativa
AA0F321D-16C7-4494-B8B5-4C1DFA4212F7,VU,Verletzlich,"B2b(iii,iv)",Waldrandart,Semi-forestière,Semi-forestale
022B8965-B84B-48F5-9A6E-B84E3A72545F,LC,Nicht gefährdet,,,,
6836D7AC-DD76-4819-B42C-121BA997BA0D,DD,Ungenügende Datengrundlage,,Erstnachweis 1999,Découverte en 1999,Scoperta nel 1999
696DA701-46C9-462E-B1ED-A61AA5E2EF82,LC,Nicht gefährdet,,,,
3A113509-CB32-4AB3-BFC9-29283B41F3A4,LC,Nicht gefährdet,,,,
135615A4-5006-4935-A366-759FC328FC8E,LC,Nicht gefährdet,,In Ausbreitung,En expansion,In espansione
74068A86-2FBA-4FD7-8987-10A67AA60EA5,LC,Nicht gefährdet,,,,
CA92DB8A-068D-49CA-9AD2-ECB5E600B693,VU,Verletzlich,"B2b(iii,iv)",Grünlandart,Prairiale,Prativa
0A37B2EB-A454-427D-897D-5B4E5B4FF9F2,NT,Potenziell gefährdet,,,,
0C790DA1-537B-446F-AED5-068091A020A6,LC,Nicht gefährdet,,In Ausbreitung,En expansion,In espansione
F73FA510-D6CB-4E31-B940-92589B7E22D7,LC,Nicht gefährdet,,,,
E1BE025E-340A-4ADC-B0A1-AC245EC1C76F,LC,Nicht gefährdet,,,,
CB90A80D-525A-4642-B628-582C89144B97,CR,Vom Aussterben bedroht,"B2a, B2b(i,ii,iii,iv)",Grünlandart,Prairiale,Prativa
1E3618EF-CFD1-4E3C-AA0D-0A9AD6FAC67D,VU,Verletzlich,"B2b(iii,iv)",Grünlandart,Prairiale,Prativa
33F1651B-20DA-4F96-86EF-600A0D3DA07A,LC,Nicht gefährdet,,In Ausbreitung,En expansion,In espansione
7E1B964C-15B8-4B96-9A60-63ED089B3913,LC,Nicht gefährdet,,,,
0F148D63-0C1E-438F-A620-9EC64D895BDD,NT,Potenziell gefährdet,,,,
81F7854A-ADA3-4F45-8F2D-505B5AECD2A3,LC,Nicht gefährdet,,,,
4480EFF7-4301-4D9E-B1AE-34789A7E58FF,VU,Verletzlich,"B2b(iii,iv)",Grünlandart,Prairiale,Prativa
80734767-358A-4784-ABB9-335A11F45AD2,NT,Potenziell gefährdet,,,,
5837A904-7C32-4E05-AC49-232BA80EC6A9,LC,Nicht gefährdet,,,,
A095573B-871A-4B8C-B337-0FA209A33B35,CR,Vom Aussterben bedroht,"B2a, B2b(iii,iv)","Erstnachweis 1995, Grünlandart","Découverte en 1995, prairiale","Prativa, scoperta nel 1995"
823653C1-ED30-4CA8-B5FE-02E4BB074D00,NT,Potenziell gefährdet,,,,
6908AB26-49B3-4F1F-AD61-3A2CDB6DF042,NT,Potenziell gefährdet,,In Ausbreitung,En expansion,In espansione
8B6E8E03-581A-4588-AB70-4CAA08CB989F,CR,Vom Aussterben bedroht,"B2a, B2b(iii,iv), C2i","Grünlandart, Berner Konvention","Prairiale, Convention de Berne","Prativa, Convenzione di Berna"
6579D86D-C724-47FD-8700-662FBD2324A0,LC,Nicht gefährdet,,,,
CF10F9A4-9A28-4F6F-8E82-5DEA62411171,VU,Verletzlich,"B2b(iii,iv)",Grünlandart,Prairiale,Prativa
1613C995-17AF-4D5B-AB97-B1FB32963CA5,LC,Nicht gefährdet,,,,
DD0C44C5-715A-474E-A384-84DD483A39E9,NT,Potenziell gefährdet,,,,
D4F89241-C696-464B-A27E-47E19CEB6C74,NE,Nicht beurteilt,,"Synanthrop, eingeführt","Synanthrope, introduite","Sinantropica, introdotta"
40C2B486-FCD5-4B71-9DC1-94B923FE2A17,NE,Nicht beurteilt,,Erstnachweis in 2004,Découverte en 2004,Scoperta nel 2004
5EF3B1A5-16C4-4A41-9A71-A9A2140313EE,NE,Nicht beurteilt,,Synanthrop,Synanthrope,Sinantropica
B142540F-6A2F-4424-A50D-C37B8D8220AF,NT,Potenziell gefährdet,,,,
8CAEAE76-230C-4C15-A29E-0ED6C7D568BD,NE,Nicht beurteilt,,Synanthrop,Synanthrope,Sinantropica
2BB6FA55-0B1E-41A0-8F61-564A58E9CF0E,LC,Nicht gefährdet,,,,
DD0853AB-D6B2-4CBE-AD0D-5BF768A67691,RE,In der Schweiz ausgestorben,,Letzte Beobachtung 1960,Dernière mention en 1960,Ultima osservazione nel 1960
24CC0F57-2168-409C-950F-87C9C993178C,LC,Nicht gefährdet,,,,
1D53A38D-DDD3-4484-B0D4-1B8A2FE4AF76,LC,Nicht gefährdet,,In Ausbreitung,En expansion,In espansione
CB04D18C-F6B5-46A1-B179-E4EE8089C1B1,VU,Verletzlich,"B2a, B2b(iii,iv)",Sumpfart,Paludéenne,Palustre
A8B96ABC-340E-4111-B1D8-108FBBD6D5E2,CR,Vom Aussterben bedroht,"B2a, B2b(iii,iv)",Pionierart,Pionnière,Pioniera
D304881C-41B9-4A8A-941A-553B979161FF,DD,Ungenügende Datengrundlage,,,,
73503721-6DE2-4E4E-9325-031168B2888D,NT,Potenziell gefährdet,,,,
6C6FA28A-2D0F-4D44-BE0B-83DEBFC4CA65,EN,Stark gefährdet,"B2a, B2b(iii,iv), B2c(iii)",Pionierart,Pionnière,Pioniera
BAC5E946-DEA2-4701-A41D-3C6207904375,LC,Nicht gefährdet,,,,
73610FEE-67EA-4D67-A877-8F6EB61F1D47,LC,Nicht gefährdet,,,,
93EDCAB6-BEC1-4943-A7E7-91DB69D3E247,CR,Vom Aussterben bedroht,"B2a, B2b(iii,iv)","Pionierart, im Rückgang","Pionnière, en régression","Pioniera, in diminuzione"
15EDCF89-27A7-4B5D-9E93-9602856A68E6,LC,Nicht gefährdet,,,,
C284EB74-97E3-4766-8F0B-ADDD66FFF589,VU,Verletzlich,"B2a, B2b(iii,iv)",Pionierart,Pionnière,Pioniera
827D397C-EBCC-4FDE-BBE6-C865549CDCE2,NE,Nicht beurteilt,,"Gemeldet im 19. Jh., zweifelhaft","Signalée au XIXe, douteuse","Segnalata nel sec. XIX, dubbia"
6E1D6640-E38B-458B-8998-7A3ECAD83CA3,RE,In der Schweiz ausgestorben,,"Pionierart, gemeldet im 19. Jh.","Pionnière, signalée au XIXe","Pioniera, segnalata nel sec. XIX."
E1DF919E-0233-48B9-8AA1-D1A5902DC607,NE,Nicht beurteilt,,,,
B47E2E83-CFF7-42DE-B2E8-4EC2AFC050C3,LC,Nicht gefährdet,,,,
F23337F5-AB13-47B3-A4C0-DE5F30880CC3,EN,Stark gefährdet,"B2a, B2b(iii,iv)",Pionierart,Pionnière,Pioniera
1301AD3C-DAD9-443E-91AB-3B44128962B2,VU,Verletzlich,"B2b(iii,iv)",Grünlandart,Prairiale,Prativa
702C77A6-C244-4315-92CC-D60AFD0DDA7C,EN,Stark gefährdet,"B2b(iii,iv), B2c(iii)",Pionierart,Pionnière,Pioniera
A9577518-B9F4-4EB8-8AB1-2C507C79B180,LC,Nicht gefährdet,,,,
