guid,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen,Remarques,Osservazioni
92D92E05-44B8-4B8D-825D-68C3E6C8F0B1,LC,Nicht gefährdet,,,,
58845BF6-F2D3-4BFE-8F19-98C672FE5961,NT,Potenziell gefährdet,"B1,B2",Zunahme in den Südalpen,en expansion au sud des Alpes,in espansione al sud delle Alpi
EB662872-4454-4315-8076-128474D3E8DA,DD,Ungenügende Datengrundlage,,,,
7BD9CED7-2AB7-486C-A73A-CA8B962A403E,LC,Nicht gefährdet,,,,
7A7400B6-2FD2-4C3A-986A-776F06B5541E,VU,Verletzlich,B2 b,"ihre seltenen Populationen sind stabil, aber ihr Lebensraum ist lokal sehr bedroht",ses rares populations sont stables mais son habitat est localement très menacé,"le sue popolazioni sono rare, ma stabili; il suo habitat è localmente molto minacciato"
3769E259-AED9-4ADF-A87A-BC219AA5E626,LC,Nicht gefährdet,,,,
674CEBD8-8A78-4162-996F-E5B706DAEB3B,NE,Nicht beurteilt,,,,
C9D34A76-98DB-4114-B3AF-5C467B0FC9DB,CR,Vom Aussterben bedroht,"B2 a, b",starker Rückgang,en forte régression,in forte regresso
76613B76-9E52-4260-B4EC-0541771F5268,DD,Ungenügende Datengrundlage,,,,
F43E2A50-F32E-4FF0-B388-9932C3BF19A6,NT,Potenziell gefährdet,A2c,"starker Rückgang, aber noch häufige Populationen, die untereinander verbunden sind",en forte régression mais populations encore fréquentes et interconnectées,"in forte regresso, ma popolazioni ancora frequenti e in contatto tra loro"
E83223CD-0136-4248-8C92-9E704A56318A,CR,Vom Aussterben bedroht,"B2 a, b",starker Rückgang,en forte régression,in forte regresso
BD6E2C67-2B09-4E7C-8758-1AB86BC1E616,LC,Nicht gefährdet,,,,
0F21A6B4-A52E-493B-BF8B-BA6CE03BDF88,CR,Vom Aussterben bedroht,"B2a, 2b",Rückgang,en régression,in regresso
DC022BE2-C1BB-4029-B54A-8E064A66B511,LC,Nicht gefährdet,,,,
9A3AFFB5-2264-447C-A951-F59556A7D03D,NT,Potenziell gefährdet,,besiedelt künstliche Lebensräume und erhält sich dort,colonise et se maintient dans des milieux artificiels,colonizza e si mantiene in ambienti artificiali
F3EAC8C4-6054-40D1-AB32-8A8A93907EF5,EN,Stark gefährdet,"B2a, 2b","stabilisierte, aber meistens isolierte Populationen; zerstückelter Lebensraum",populations stabilisées mais majoritairement isolées; habitat fragmenté,"popolazioni stabilizzate ma per lo più isolate, habitat frammentato"
635E5D7A-4D86-489C-9734-4AEC79ADFD52,NT,Potenziell gefährdet,"B2a, 2b","stabilisierte Populationen, aber empfindliche Lebensräume",populations stabilisées mais milieux précaires,popolazioni stabilizzate ma habitat precari
A5918DCC-5CE8-4D30-94F5-359DAE5C8CB8,CR,Vom Aussterben bedroht,"B2a, 2b",letzte Beobachtung 1989,dernière observation 1989,ultima osservazione nel 1989
2017F846-989A-4FBD-A2B3-B1F5602361F0,CR,Vom Aussterben bedroht,"B2a, 2b","stabilisierte Populationen, aber grosse Zerstückelung des Lebensraumes und Isolation der Populationen",populations stabilisées mais forte fragmentation de l’habitat et isolement des populations ,popolazioni stabilizzate ma forte frammentazione dell’habitat e isolamento delle popolazioni
0DFF454F-82E4-4876-B729-4D08B11D0B94,RE,In der Schweiz ausgestorben,,letzte Beobachtung 1957,dernière observation 1957,ultima osservazione nel 1957
A9E7E55F-F46E-412B-8985-CEE9A40691CF,LC,Nicht gefährdet,,,,
F8957E32-7062-474D-B395-B4118112F475,NT,Potenziell gefährdet,A2,starker Rückgang,en forte régression,in forte regresso
BA8D4448-6DA5-403B-BCE1-55778CD51FFD,DD,Ungenügende Datengrundlage,,1 Standort 2001 entdeckt,1 station découverte en 2001,1 stazione scoperta nel 2001
C82A8AB0-E7CD-4933-A361-0DC31B46D8FC,LC,Nicht gefährdet,,,,
4A385161-7984-4B03-93F5-5B55A98EB46F,LC,Nicht gefährdet,,,,
D78FB23B-5DA8-4B39-86F1-1C6E7B622FDD,LC,Nicht gefährdet,,,,
B8EF226E-3338-4457-9B63-83BEC752EA5E,LC,Nicht gefährdet,,,,
EB127C3E-54C9-45D0-8AAD-6C44A28CDCD9,LC,Nicht gefährdet,,,,
