guid,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen,Remarques,Osservazioni
2B945AD0-F66B-48AD-810C-C2A84BFF6C3E,CR,Vom Aussterben bedroht,"B2a, B2b(iii)",,,
63C3093A-CE0D-4895-8F4D-1C3C81278631,VU,Verletzlich,"B2a, B2b(ii,iii)",Genereller Rückgang,Diminution généralisée,In regresso a livello generale
1EE9D4B0-A5D4-45A6-B69A-EB738783E6F9,VU,Verletzlich,"B2a, B2b(iii, iv)",Starker Rückgang in den Kantonen VD und GE,Forte régression dans les cantons de VD et GE,In forte regresso nei Cantoni VD e GE
006A670B-32E9-4DC6-B09C-8D90809D760E,LC,Nicht gefährdet,,"Gefährdet in den Kantonen AG, SH, ZH","Menacé dans les cantons AG, SH, ZH","Minacciata nei Cantoni AG, SH e ZH"
8B052C05-2668-4FF6-BBD2-7F0F5D864A24,LC,Nicht gefährdet,,,,
CF440FE8-A672-43E1-8C83-B7DDC935880C,LC,Nicht gefährdet,,,,
38BEFEF4-134B-4458-86B8-694D67923196,LC,Nicht gefährdet,,Rückgang im Tiefland,En diminution en plaine,n diminuzione in pianura
DE23EEFD-B042-44C3-A393-C4B73D0940EE,EN,Stark gefährdet,"B2a, B2b(iii, iv)",Kleines Verbreitungsgebiet in der Schweiz,Aire d’occupation restreinte en Suisse,Areale di distribuzione ristretto in Svizzera
C66683CB-E62E-42CF-9DCC-2D2D2A95115B,EN,Stark gefährdet,"B2a, B2b(iii, iv)",Kleines Verbreitungsgebiet in der Schweiz,Aire d’occupation restreinte en Suisse,"Areale di distribuzione ristretto in
Svizzera"
8B825C10-C098-48B1-BAB7-5C6287002635,VU,Verletzlich,"B2a, B2b(iii, iv)",Im Mittelland vom Aussterben bedroht,Menacée de disparition sur le Plateau,A rischio d’estinzione sull’Altipiano
F0960A4D-CFA6-44DB-B40C-FE9A2E3E3807,EN,Stark gefährdet,"A2c, B2a, B2b(iii, iv)",Nordostschweiz,Nord-Est de la Suisse,Presente solo nel Nordest della Svizzera
6AE86A5C-7380-4E70-B588-F0B47CA63CCA,VU,Verletzlich,"A2c, B2a, B2b(iii, iv)",Genereller Rückgang im Tiefland,Régression généralisée en plaine,In regresso in pianura
EDCE43BD-88A1-4CA1-B741-F34855E6765C,CR,Vom Aussterben bedroht,"B2a, B2b(iii,iv)􀃃","GE, VD, VS","GE, VD, VS","Presente solo nei cantoni GE, VD, VS"
C8FF7210-BD15-4080-82A5-4110156C74BD,EN,Stark gefährdet,"B2a, B2b(iii,iv)",Alpensüdflanke,Sud des Alpes,Presente solo al Sud delle Alpi
25210E25-BBC2-42FB-A7F4-FEB898445BAE,CR,Vom Aussterben bedroht,"B2a, B2b(iv)","Genereller Rückgang, regional ausgestorben","Régression généralisée, extinctions régionales","In regresso, estinta regionalmente"
475CF4AB-BC77-43E0-8155-73BC0391C5A0,VU,Verletzlich,"A2c, B2a, B2b(iii,iv)",Rückgang in den Tieflagen,Régression en basse altitude,In regresso alle basse quote
7FFABACE-0CD9-4F5F-B21E-CF49A76D2D62,EN,Stark gefährdet,"B2a, B2(iii,iv)",Alpensüdflanke,Sud des Alpes,Presente solo al Sud delle Alpi
F871A602-DEC1-4E03-91AA-B3B8E3FC5423,EN,Stark gefährdet,"A2c, B2a, B2b(iii,iv)",Kleines Verbreitungsgebiet in der Schweiz,Aire d’occupation restreinte en Suisse,"Areale di distribuzione ristretto in
Svizzera"
