guid ausgelesen,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen,Remarques,Osservazioni
BCBFE18B-58F0-4B4C-B2BD-4D6014365F76,RE,In der Schweiz ausgestorben,,Einziger Nachweis 1870,Unique mention 1870,Unico rilevamento 1870
01211B14-AA06-4D80-8B9F-67D768281AF4,RE,In der Schweiz ausgestorben,,Einziger Nachweis 1905,Unique mention 1905,Unico rilevamento 1905
990C67B3-8165-4287-A3B4-55D7AD0D40D0,RE,In der Schweiz ausgestorben,,Zwei Nachweise 1905–1974,Deux mentions 1905-1974,Due rilevamenti 1905–1974
0732F904-1689-4259-A3A6-B15FE690A899,NE,Nicht beurteilt,,,,
DA5FB43B-9DBE-4F48-A4B5-CEE043FA6D2A,LC,Nicht gefährdet,,,,
968E6D87-73A4-48F2-981E-D04055F92CB9,LC,Nicht gefährdet,,,,
B9D04DFA-B373-4281-96A2-98E644D27B0C,LC,Nicht gefährdet,,,,
FA267286-A5A0-4F72-A4E3-79C4C934C318,LC,Nicht gefährdet,,,,
F2BC169F-C2A6-4710-A85F-B5A2526BFD5C,LC,Nicht gefährdet,,,,
8C11DFC2-D8A2-4CF9-AC0B-D1045EBCF79F,LC,Nicht gefährdet,,,,
9624B0D0-36C2-4726-899C-C5979049B6B3,LC,Nicht gefährdet,,,,
84B7B1EE-9E08-407D-824F-CD2F3EBAB852,LC,Nicht gefährdet,,,,
233D3F2D-BDCE-4953-8D54-CE2005377BF3,LC,Nicht gefährdet,,,,
BA5C2162-9EA4-4FDD-9258-B10E6587AEE6,LC,Nicht gefährdet,,,,
A16B7AC3-A374-4643-B594-1CE857D5E4D0,LC,Nicht gefährdet,,,,
C3A47A96-8916-4360-9409-796CFE9E3955,LC,Nicht gefährdet,,,,
AE837439-0476-4ED4-81F3-AC6EF8CEDD8D,LC,Nicht gefährdet,,,,
FEEFCCBF-3BD7-43CB-B533-126475FB5E75,LC,Nicht gefährdet,,,,
36E626BE-201A-478E-9009-AC84FAE8FAD2,LC,Nicht gefährdet,,,,
9BE40095-1B30-42B3-B424-AF12728C88F4,LC,Nicht gefährdet,,,,
896D3A1F-CEC2-46F3-81A0-DCC6DFCE967E,LC,Nicht gefährdet,,,,
1C6AC7D0-0721-4B50-A157-9718FF89076F,LC,Nicht gefährdet,,,,
2F06F8C4-DE4E-4EDA-B073-C7BEBE0CDAE8,LC,Nicht gefährdet,,,,
A65A38C3-4CB6-47F4-9FAB-4811A8DDE71D,LC,Nicht gefährdet,,,,
CB688012-1376-4365-A8CB-AFB77D8DDA33,LC,Nicht gefährdet,,,,
44AD7398-F14D-40DB-B8B5-A49D89674F27,LC,Nicht gefährdet,,,,
AA71FF36-4FF4-47C9-8DFB-AB9DDDB5C10A,LC,Nicht gefährdet,,,,
8824FC7C-3876-4DEE-8884-8CC39833112A,LC,Nicht gefährdet,,,,
38FA010C-5FBB-49F7-82E5-C186DF2DB5A7,LC,Nicht gefährdet,,,,
DC248C6D-0321-439E-BFD1-6F4031A86B04,LC,Nicht gefährdet,,,,
50F4C71A-6136-4C40-994B-EA7BE8F02727,LC,Nicht gefährdet,,,,
B21491A0-E0A8-4397-8202-484888DBC857,LC,Nicht gefährdet,,,,
17F38E96-0A9A-4C7B-9B26-E64246F392DA,LC,Nicht gefährdet,,,,
DE9393E4-8AB7-4EA6-93F3-1F58F95ACC7E,LC,Nicht gefährdet,,,,
03450B08-CC29-48EB-8781-08B3DCE04D33,LC,Nicht gefährdet,,,,
A7451420-9C51-45A0-AB89-E094C6CBB4CB,LC,Nicht gefährdet,,,,
33A25850-72DC-4F1B-9EC0-23D27C91AB69,LC,Nicht gefährdet,,,,
C1A3694D-E61F-4058-AF3F-04A2F58A61E8,LC,Nicht gefährdet,,,,
829BA601-4996-4167-B249-0355DFB030A8,LC,Nicht gefährdet,,,,
FC8992A8-2035-45EF-8B46-858C8A5A3BCB,LC,Nicht gefährdet,,,,
9747455E-7729-40A8-B498-796D450114CB,LC,Nicht gefährdet,,,,
EBC159A4-2AD4-43D5-AA06-71BCF499F536,NT,Potenziell gefährdet,B2b (ii),,,
8A0B7DAC-7040-4906-A366-A27703C3E5E9,NT,Potenziell gefährdet,B2b (iv),,,
0367642D-BBFC-451D-A1F9-558560388E28,NT,Potenziell gefährdet,B2b (iii),,,
68E4C344-0EA6-46FE-8CE8-A441E2812EC0,NT,Potenziell gefährdet,B2b (i),,,
174A898F-07F6-46F4-9B72-464B4EDB7CA4,NT,Potenziell gefährdet,B2b (ii),,,
9DE07169-9F4F-4366-ABFB-72A99A05B0EB,NT,Potenziell gefährdet,B2b (iii),Vermutlich eine Waldart,Espèce probablement forestière,Probabile specie forestale
8E1C1FDD-7A6C-435D-B260-E70754552A74,NT,Potenziell gefährdet,B2b (i),Beschränktes Verbreitungsgebiet,Aire géographique restreinte,Areale di distribuzione ristretto
454612E6-24FE-4F4B-BD5B-4D068FA00179,NT,Potenziell gefährdet,B2b (i),,,
C74C17CA-C03F-4FC4-B445-53AF0C1E0C2A,NT,Potenziell gefährdet,B2b (iii),,,
A13A2C53-A9F1-43DC-982D-F245A5C0C6D8,EN,Stark gefährdet,"B2a, B2b (ii, iv)",,,
480B76B9-E241-47E2-8595-179E576EC003,EN,Stark gefährdet,"B2a, B2b (ii, iii,iv)",,,
E3CD5DC1-5192-4F3A-94FF-6F20EC9396C9,EN,Stark gefährdet,"B2a, B2b (ii, iii)",,,
BEE3A992-1A0B-4A66-AF26-531EA3A79CEA,EN,Stark gefährdet,"B2b (ii, iii, iv)",,,
3B75631F-B45D-4E02-8585-77BBC5839B86,EN,Stark gefährdet,B2b (iv),Beschränktes Verbreitungsgebiet in CH,Aire restreinte dans notre pays,Areale di distribuzione ristretto in CH
2C3CDD2E-6AC8-44AE-88BC-ADA65F2C6C31,EN,Stark gefährdet,"B2b (ii, iv)",,,
BC3FFB9C-9735-41C3-A44C-9EDFDB03AFE1,EN,Stark gefährdet,"B2b (ii, iii, iv)",Nur eine grosse Population in CH,Une seule population importante en Suisse,Una sola popolazione di rilievo in CH
C913C070-0004-40E9-B0D6-B7FF7AFD749A,DD,Ungenügende Datengrundlage,,,,
4E5CFFD8-6968-4AC9-AAC7-02108808068A,DD,Ungenügende Datengrundlage,,,,
6E18C4ED-60C6-4F01-9689-DECB39C1BE4E,VU,Verletzlich,B2b (iv),,,
8BE2C2B7-A6A3-4595-BF52-62139452F826,VU,Verletzlich,"B2a, B2b (iv)",,,
2603FB29-14C1-443E-BCEB-CE08112858F4,VU,Verletzlich,"B2b (iii, iv)",Jura-Endemit,Endémique du Jura,Endemica del Giura
BD4EFE03-2769-453A-B034-B1BAA19C4344,VU,Verletzlich,"B2b (ii, iii, iv)",,,
D564142D-AD49-4D7F-8994-9F69EDD458AF,VU,Verletzlich,B2b (iv),,,
3A1EDC29-6924-4017-8FF8-FB851BDD98F9,VU,Verletzlich,"B2b (ii, iii)",,,
859DD66E-C0FB-49B2-819F-AF30C0CDF017,VU,Verletzlich,"B2b (i, iv)",Sehr beschränktes Verbreitungsgebiet,Aire géographique restreinte,Areale di distribuzione molto ristretto
990C62E2-41B1-487A-82BC-55022700E6ED,VU,Verletzlich,"B2b (ii, iii, iv)",,,
08B875F0-84F6-408A-A08B-174A5D3D0701,VU,Verletzlich,"B2cii, B2b( iii, iv)",,,
73252844-C605-42A2-B920-84D463E59378,VU,Verletzlich,"B2a, B2b (iv)",,,
73433F80-0B8A-42C5-A9B7-0293367EC8D7,VU,Verletzlich,"B2a, B2b (ii, iv)",,,
F3BC9EB9-2E42-4C45-B1E1-B66C49F20A1C,VU,Verletzlich,"B2b (ii, iii,iv)",Starke Abnahme in der Westschweiz,Forte régression en Suisse occidentale,Forte regressione nella Svizzera occidentale
B32AAFF4-2B0E-4BD9-98D9-E0B3F03DB5DE,CR,Vom Aussterben bedroht,"B2a, B2b (ii,iii)",Sehr beschränktes Verbreitungsgebiet,Aire très restreinte dans notre pays,Areale di distribuzione molto ristretto
D2AEDFDB-133D-45CD-9082-B904BF0DA59D,CR,Vom Aussterben bedroht,"B2a, B2b (iii, iv)",Nur 2 Populationen bekannt,Seulement 2 populations connues,Solo 2 popolazioni note
